"Gene_symbol"	"   Genes"	"Freq"
"BCORL1"	"BCL6 corepressor like 1"	"3"
"DKK1"	"dickkopf WNT signaling pathway inhibitor 1"	"3"
"DNMT1"	"DNA methyltransferase 1"	"3"
"DNMT3A"	"DNA methyltransferase 3 alpha"	"3"
"DNMT3B"	"DNA methyltransferase 3 beta"	"3"
"FGFR1"	"fibroblast growth factor receptor 1"	"3"
"HR"	"HR lysine demethylase and nuclear receptor corepressor"	"3"
"NPR3"	"natriuretic peptide receptor 3"	"3"
"PPP2R2C"	"protein phosphatase 2 regulatory subunit Bgamma"	"3"
"SI"	"sucrase-isomaltase"	"3"
"SMARCA4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	"3"
"SNCA"	"synuclein alpha"	"3"
"SSR2"	"signal sequence receptor subunit 2"	"3"
"ZIC1"	"Zic family member 1"	"3"
"ZNRF3"	"zinc and ring finger 3"	"3"
"ASL"	"argininosuccinate lyase"	"2"
"ASS1"	"argininosuccinate synthase 1"	"2"
"AXIN1"	"axin 1"	"2"
"BCAT1"	"branched chain amino acid transaminase 1"	"2"
"CDK4"	"cyclin dependent kinase 4"	"2"
"CDK6"	"cyclin dependent kinase 6"	"2"
"COL1A2"	"collagen type I alpha 2 chain"	"2"
"GAB1"	"GRB2 associated binding protein 1"	"2"
"GPR161"	"G protein-coupled receptor 161"	"2"
"IRS2"	"insulin receptor substrate 2"	"2"
"KIF11"	"kinesin family member 11"	"2"
"MDM2"	"MDM2 proto-oncogene"	"2"
"NEK2"	"NIMA related kinase 2"	"2"
"PPP2R2B"	"protein phosphatase 2 regulatory subunit Bbeta"	"2"
"PVR"	"PVR cell adhesion molecule"	"2"
"RELA"	"RELA proto-oncogene, NF-kB subunit"	"2"
"SOX2"	"SRY-box transcription factor 2"	"2"
"SSRP1"	"structure specific recognition protein 1"	"2"
"TIMP3"	"TIMP metallopeptidase inhibitor 3"	"2"
"VIP"	"vasoactive intestinal peptide"	"2"
"ZBTB18"	"zinc finger and BTB domain containing 18"	"2"
"ZIC2"	"Zic family member 2"	"2"
"ZIC5"	"Zic family member 5"	"2"
"ABCA1"	"ATP binding cassette subfamily A member 1"	"1"
"ABCA8"	"ATP binding cassette subfamily A member 8"	"1"
"ABCB4"	"ATP binding cassette subfamily B member 4"	"1"
"ABCG2"	"ATP binding cassette subfamily G member 2 (Junior blood group)"	"1"
"ARRB1"	"arrestin beta 1"	"1"
"ASPA"	"aspartoacylase"	"1"
"ATRX"	"ATRX chromatin remodeler"	"1"
"AURKA"	"aurora kinase A"	"1"
"BCL6"	"BCL6 transcription repressor"	"1"
"BIRC5"	"baculoviral IAP repeat containing 5"	"1"
"CAD"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	"1"
"CCND1"	"cyclin D1"	"1"
"CD24"	"CD24 molecule"	"1"
"CD44"	"CD44 molecule (Indian blood group)"	"1"
"CD163"	"CD163 molecule"	"1"
"CDH1"	"cadherin 1"	"1"
"CDKN2A"	"cyclin dependent kinase inhibitor 2A"	"1"
"CHEK2"	"checkpoint kinase 2"	"1"
"CS"	"citrate synthase"	"1"
"CXCL12"	"C-X-C motif chemokine ligand 12"	"1"
"ERG"	"ETS transcription factor ERG"	"1"
"ESRRG"	"estrogen related receptor gamma"	"1"
"FUBP1"	"far upstream element binding protein 1"	"1"
"GOT1"	"glutamic-oxaloacetic transaminase 1"	"1"
"GPS2"	"G protein pathway suppressor 2"	"1"
"GSS"	"glutathione synthetase"	"1"
"HTATIP2"	"HIV-1 Tat interactive protein 2"	"1"
"IDH2"	"isocitrate dehydrogenase (NADP(+)) 2"	"1"
"IDO1"	"indoleamine 2,3-dioxygenase 1"	"1"
"JUN"	"Jun proto-oncogene, AP-1 transcription factor subunit"	"1"
"KCNA1"	"potassium voltage-gated channel subfamily A member 1"	"1"
"KMT2C"	"lysine methyltransferase 2C"	"1"
"KRAS"	"KRAS proto-oncogene, GTPase"	"1"
"LDB1"	"LIM domain binding 1"	"1"
"MDM4"	"MDM4 regulator of p53"	"1"
"MID2"	"midline 2"	"1"
"MMP9"	"matrix metallopeptidase 9"	"1"
"MMP13"	"matrix metallopeptidase 13"	"1"
"MRE11"	"MRE11 homolog, double strand break repair nuclease"	"1"
"MTHFR"	"methylenetetrahydrofolate reductase"	"1"
"MYBL1"	"MYB proto-oncogene like 1"	"1"
"NGF"	"nerve growth factor"	"1"
"NGFR"	"nerve growth factor receptor"	"1"
"NOTCH1"	"notch receptor 1"	"1"
"P4HB"	"prolyl 4-hydroxylase subunit beta"	"1"
"PML"	"PML nuclear body scaffold"	"1"
"POLB"	"DNA polymerase beta"	"1"
"POU3F4"	"POU class 3 homeobox 4"	"1"
"PPM1D"	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	"1"
"PPP2R2A"	"protein phosphatase 2 regulatory subunit Balpha"	"1"
"PRMT1"	"protein arginine methyltransferase 1"	"1"
"PRODH"	"proline dehydrogenase 1"	"1"
"PTPRS"	"protein tyrosine phosphatase receptor type S"	"1"
"RB1"	"RB transcriptional corepressor 1"	"1"
"RNF146"	"ring finger protein 146"	"1"
"RRAS2"	"RAS related 2"	"1"
"S100A6"	"S100 calcium binding protein A6"	"1"
"S100A10"	"S100 calcium binding protein A10"	"1"
"SCARB1"	"scavenger receptor class B member 1"	"1"
"SFRP1"	"secreted frizzled related protein 1"	"1"
"SLC1A5"	"solute carrier family 1 member 5"	"1"
"SNRPA"	"small nuclear ribonucleoprotein polypeptide A"	"1"
"TDO2"	"tryptophan 2,3-dioxygenase"	"1"
"TMPRSS2"	"transmembrane serine protease 2"	"1"
"TOX"	"thymocyte selection associated high mobility group box"	"1"
"TRIM58"	"tripartite motif containing 58"	"1"
"TUBB"	"tubulin beta class I"	"1"
"USH2A"	"usherin"	"1"
"XRCC1"	"X-ray repair cross complementing 1"	"1"
"ZBTB38"	"zinc finger and BTB domain containing 38"	"1"
"ZIC3"	"Zic family member 3"	"1"
"ZIC4"	"Zic family member 4"	"1"
"ZMYM3"	"zinc finger MYM-type containing 3"	"1"
"ZNF157"	"zinc finger protein 157"	"1"
